file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\misc\MediaServiceManager.java,com.liskovsoft.smartyoutubetv2.common.misc.MediaServiceManager$OnAccountList,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\details\VideoDetailsFragment.java,com.liskovsoft.smartyoutubetv2.tv.ui.details.VideoDetailsFragment$Anonymous3,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\misc\MotherActivity.java,com.liskovsoft.smartyoutubetv2.common.misc.MotherActivity$OnPermissions,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\channel\ChannelActivity.java,com.liskovsoft.smartyoutubetv2.tv.ui.channel.ChannelActivity,class,4,6,2,4,2,4,0,7,0,0.5,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,13,0,0,0,0,0,0,0,2,0,2,0,0,0,0,22,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\details\VideoDetailsFragment.java,com.liskovsoft.smartyoutubetv2.tv.ui.details.VideoDetailsFragment$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\details\VideoDetailsFragment.java,com.liskovsoft.smartyoutubetv2.tv.ui.details.VideoDetailsFragment$Anonymous2,anonymous,3,3,0,3,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,1,0,1,1,0,0,0,21,-1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\old\ui\SettingsFragment.java,com.liskovsoft.smartyoutubetv2.tv.old.ui.SettingsFragment$PrefFragment,innerclass,5,5,0,5,4,2,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,1,0,0,0,0,2,0,2,1,0,0,0,39,9,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\search\regular\SearchFragment.java,com.liskovsoft.smartyoutubetv2.tv.ui.search.regular.SearchFragment$ItemViewSelectedListener,innerclass,9,9,0,9,4,1,0,6,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,1,2,2,2,1,0,0,0,16,18,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\app\presenters\ChannelUploadsPresenter.java,com.liskovsoft.smartyoutubetv2.common.app.presenters.ChannelUploadsPresenter,class,20,28,8,20,52,2,0,62,179,0.846591,0.06666667,0.06666667,22,1,16,6,0,0,16,0,0,0,8,2,0,8,0,0,3,0,7,186,13,1,23,0,1,10,2,21,2,22,2,0,1,8,78,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\misc\RemoteControlService.java,com.liskovsoft.smartyoutubetv2.common.misc.RemoteControlService,class,10,12,2,10,4,2,0,17,4,0.625,0.33333334,0.33333334,4,0,3,1,0,0,3,0,0,0,2,2,0,2,0,0,2,0,5,23,3,0,0,0,0,3,0,4,0,4,0,0,0,0,38,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\utils\UserAgentManager.java,com.liskovsoft.smartyoutubetv2.common.utils.UserAgentManager,class,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,0,2,0,0,2,0,1,8,1,0,0,0,0,1577,0,3,0,3,0,0,0,0,33,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\app\presenters\interfaces\Presenter.java,com.liskovsoft.smartyoutubetv2.common.app.presenters.interfaces.Presenter,interface,2,3,1,2,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\openvpn\src\main\java\de\blinkt\openvpn\LaunchVPN.java,de.blinkt.openvpn.LaunchVPN,class,22,26,4,22,31,2,0,55,22,0.83838385,0.2,0.2,9,0,1,3,2,3,6,0,0,0,11,5,4,7,0,0,5,0,15,203,1,0,11,2,4,19,3,33,0,32,4,7,0,0,203,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\dialogs\AppDialogFragment.java,com.liskovsoft.smartyoutubetv2.tv.ui.dialogs.AppDialogFragment$AppPreferenceFragment,innerclass,14,14,0,14,27,2,0,27,50,0.8333333,0.035714287,0.035714287,12,0,8,4,0,0,8,0,0,0,7,1,0,7,0,0,1,0,2,87,3,1,9,0,0,2,5,12,0,11,3,0,0,0,57,9,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\app\models\data\BrowseSection.java,com.liskovsoft.smartyoutubetv2.common.app.models.data.BrowseSection,class,1,8,7,1,19,1,0,1,125,0.9145299,0.09150327,0.36601308,18,0,18,0,0,0,18,0,0,0,13,5,4,9,0,0,10,0,0,75,9,0,0,0,0,0,8,15,0,13,0,0,0,0,53,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\app\presenters\PlaybackPresenter.java,com.liskovsoft.smartyoutubetv2.common.app.presenters.PlaybackPresenter,class,13,33,20,13,24,2,0,25,49,0.8636364,0.027777778,0.027777778,11,1,9,2,0,0,9,0,0,0,4,2,0,4,0,0,3,0,5,71,8,0,13,0,0,1,0,7,0,6,2,0,0,0,54,1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\openvpn\src\main\java\de\blinkt\openvpn\core\TrafficHistory.java,de.blinkt.openvpn.core.TrafficHistory$TrafficDatapoint,innerclass,4,4,0,4,4,1,0,2,0,0.4375,0.0,0.0,4,0,2,2,0,0,2,0,0,0,4,1,4,0,0,0,4,0,0,32,1,0,0,0,0,0,1,7,0,4,0,1,0,0,19,9,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\widgets\vineyard\videoview\LoopingVideoView.java,com.liskovsoft.smartyoutubetv2.tv.ui.widgets.vineyard.videoview.LoopingVideoView$Anonymous1,anonymous,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,1,0,0,0,1,0,0,7,-1,0
C:\Users\jeffr\OneDrive\Desktop\SmartTubeNext-master\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\ui\search\tags\SearchTagsActivity.java,com.liskovsoft.smartyoutubetv2.tv.ui.search.tags.SearchTagsActivity,class,6,7,1,6,5,4,0,9,0,0.5,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,19,1,0,1,0,0,0,0,1,0,2,1,0,0,0,27,1,0
